,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Jarrett Allen,CLE,27,82,64,18,28,121.9,111.3,10.5,9.1,1.63,15.5,9.5,23.8,16.9,9.5,70.6,72.4,15.6,101.43,14.8,4853
2,Brook Lopez,MIL,37,80,47,33,31.8,114.8,112.7,2.2,7.8,1.7,13.5,4.6,10.7,7.8,7.9,59.9,62.4,15.7,100.24,8.7,5325
2,Ivica Zubac,LAC,28,80,50,30,32.8,116.5,107.1,9.4,12.1,1.69,15.5,12.2,27.1,19.9,9.2,62.8,64.1,19.2,98.55,15.7,5392
4,Bam Adebayo,MIA,27,78,36,42,34.3,110.9,110.8,0.1,20.4,2.09,19.2,6.9,21.4,14.1,9.2,52.1,56.1,23.2,97.02,13.7,5414
4,Jalen Duren,DET,21,78,43,35,26.1,115.5,114,1.5,14.1,1.54,21,13.7,25.9,19.9,13.6,69.2,70.3,16.1,101.29,14,4278
6,Alperen Sengun,HOU,22,76,52,24,31.5,114.9,107.4,7.6,23.8,1.92,19.6,9.9,21,15.3,10.2,50.5,54.5,25.9,99.47,15.3,4978
7,Jaren Jackson Jr.,MEM,25,74,42,32,29.8,115.2,108.8,6.4,10.2,0.97,8.8,3.8,13.4,8.7,9.1,54.8,59.1,27.4,105.56,12.4,4863
8,Karl-Anthony Towns,NYK,29,72,46,26,35,119.4,112.7,6.8,13,1.16,12.4,8.7,28.4,18.7,10.7,58.4,63,26.5,99.25,16.1,5215
8,Myles Turner,IND,29,72,44,28,30.2,116.1,111.5,4.7,7.2,0.9,9.7,4.3,16.9,10.9,10.7,57.7,61.2,20.7,100.19,10.3,4533
8,Nikola Vučević,CHI,34,72,33,39,31.3,113.7,116.3,-2.6,16.7,2.18,17.4,7.6,22.8,15.4,8,59.1,61.1,22.2,104.02,13.6,4896
8,Rudy Gobert,MIN,32,72,43,29,33.2,114.3,107.6,6.7,7.5,1.43,14.9,11.1,21,16.1,10.5,66.9,68.7,12.9,97.63,12.6,4858
12,Evan Mobley,CLE,23,71,58,13,30.5,120.5,108.6,11.9,14.9,1.56,16.1,7.6,21.3,14.7,10.3,60.4,63.3,22.6,102.16,15.1,4609
13,Domantas Sabonis,SAC,29,70,36,34,34.7,116.5,113.9,2.6,25.1,2.09,25.7,11,28.6,19.9,12.3,62.7,65.5,21.3,99.78,16.4,5054
13,Nikola Jokić,DEN,30,70,46,24,36.7,125.6,115.1,10.5,39.8,3.11,28.7,8.3,25.2,17.3,9.2,62.7,66.3,28.5,101.99,20.6,5471
15,Julius Randle,MIN,30,69,44,25,32.3,115,111.6,3.4,22.8,1.65,20.1,6.5,14.9,10.8,12.2,54.2,59.3,24.6,98.45,12.4,4569
16,Alex Sarr,WAS,20,67,13,54,27.1,102.7,116.4,-13.7,13.9,1.41,13.7,6,15.8,10.8,9.7,45.7,48.2,23,104.3,8.4,3939
16,Yves Missi,NOP,21,67,17,50,27.2,107.7,121.1,-13.4,7,1.15,12.8,12.2,17.7,14.9,11.1,55,57.6,13.9,99.68,9,3788
18,Nic Claxton,BKN,26,62,18,44,27.5,102.5,116.8,-14.3,13.9,1.76,17.5,8,19.3,13.4,9.9,55.5,56,16.6,97.2,11.3,3445
19,Walker Kessler,UTA,23,58,14,44,30,109.2,118.3,-9.1,8.3,1.13,14.6,14.5,23.5,19,13,67.1,66,13.3,100.8,12.7,3656
20,Jakob Poeltl,TOR,29,56,21,35,29.6,111.4,111.6,-0.2,13.6,1.42,17.5,11.1,20.7,15.9,12.3,62.9,64.2,18.3,101.4,13.4,3498
21,Zach Edey,MEM,23,55,31,24,21.4,116.3,112.7,3.6,5.7,0.73,10.2,14.9,21.2,18.1,13.9,59.5,61.2,15.1,104.2,10.7,2557
