Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,
1,Bruno Fernando,TOR,26,2,0,2,10.7,3,1.5,1.5,100,0,0,0,0,0,0,0,3.5,3.5,0.5,1.5,1,1,1,12.5,0,0,0
2,Kai Jones,DAL,24,6,4,2,23.2,11.5,5,6,83.3,0.2,0.3,50,1.3,1.7,80,2.3,5.5,7.8,1.5,0.5,1,1,2.7,28.7,1,0,4.5
3,Ariel Hukporti,NYK,23,1,1,0,16.1,8,4,5,80,0,0,0,0,0,0,2,0,2,0,3,0,1,3,10.4,0,0,1
4,Moses Brown,DAL,25,2,1,1,26.2,19,8.5,11.5,73.9,0,0,0,2,2.5,80,2.5,7.5,10,0,0,1.5,1,4.5,38.5,1,0,-2
5,Luke Kornet,BOS,29,16,12,4,27.7,10.1,4.4,6,72.9,0,0.1,0,1.3,1.8,72.4,3,3.1,6.1,2.1,0.8,0.9,1.8,2.3,27.7,2,0,8.7
6,Jaxson Hayes,LAL,25,35,26,9,22.5,7.9,3.5,4.7,72.9,0,0,0,1,1.8,55.6,1.5,4.3,5.8,1.2,0.9,0.6,0.9,2.8,20.4,2,0,3.3
7,Daniel Gafford,DAL,26,31,13,18,24.7,13.8,5.7,8,70.7,0,0,0,2.5,3.5,72,3.1,4.6,7.7,1.7,1.3,0.5,2.2,3.2,32.2,6,0,1.9
8,Jarrett Allen,CLE,27,82,64,18,28,13.5,5.5,7.8,70.6,0,0.1,0,2.4,3.4,71.8,2.6,7.1,9.7,1.9,1.2,0.9,0.9,1.5,32.3,40,0,6.3
9,Dereck Lively II,DAL,21,29,17,12,23.1,8.5,3.7,5.2,70.2,0,0,0,1.2,1.8,65.4,2.8,4.5,7.3,2.3,1.1,0.5,1.7,2.6,26.4,6,0,3.3
10,DeAndre Jordan,DEN,36,5,2,3,30.4,8.6,3.2,4.6,69.6,0,0,0,2.2,4.6,47.8,3.2,10,13.2,2.8,1,1.2,0.8,3.2,33.6,3,0,1
11,Jalen Duren,DET,21,78,43,35,26.1,11.8,4.8,7,69.2,0,0,0,2.1,3.1,66.9,3.6,6.8,10.3,2.7,1.7,0.7,1.1,3.2,32,41,0,0.5
12,Rudy Gobert,MIN,32,72,43,29,33.2,12,4.7,7.1,66.9,0,0,0,2.6,3.8,67.4,3.7,7.2,10.9,1.8,1.2,0.8,1.4,2.5,33.2,36,0,4.5
13,Dwight Powell,DAL,33,3,0,3,17.7,3,1.3,2,66.7,0,0,0,0.3,0.7,50,1.7,0.7,2.3,2,0.7,0.3,0.7,2.7,11.1,0,0,-12.3
13,Isaiah Stewart,DET,24,4,1,3,31.9,11,5,7.5,66.7,0.5,1,50,0.5,0.5,100,3,5,8,2,1.3,0.8,1.8,2.8,29.9,1,0,-6
15,Walker Kessler,UTA,23,58,14,44,30,11.1,4.8,7.2,66.3,0.1,0.6,17.6,1.4,2.6,52,4.6,7.6,12.2,1.7,1.5,0.6,2.4,2.2,35.7,28,0,-5.7
16,Ivica Zubac,LAC,28,80,50,30,32.8,16.8,7.4,11.8,62.8,0,0,0,2,3,66.1,3.8,8.9,12.6,2.7,1.6,0.7,1.1,2.1,39.8,59,1,6.4
17,Jakob Poeltl,TOR,29,56,21,35,29.6,14.4,6.4,10.1,62.8,0,0,50,1.7,2.5,67.4,3.3,6.4,9.7,2.8,2,1.2,1.3,3.1,35.5,23,0,-0.3
18,Goga Bitadze,ORL,25,42,24,18,24.9,9.1,3.8,6.3,61,0,0.5,10,1.4,2.1,65.6,2.9,5.5,8.4,2.3,1.4,0.9,1.8,2.4,29.3,14,0,1.7
19,Mark Williams,CHA,23,41,9,32,27.8,15.8,6.4,10.5,60.4,0,0.1,0,3.1,3.9,80.4,3.1,7.5,10.6,2.6,1.7,0.8,1.3,2.5,36.9,21,0,-6.7
20,Day'Ron Sharpe,BKN,23,2,0,2,30.8,17,6,10,60,1,1.5,66.7,4,4.5,88.9,8.5,7,15.5,5,1,1,1.5,4.5,49.6,1,0,6
20,Drew Eubanks,LAC,28,4,1,3,25.4,10.5,4.5,7.5,60,0.3,0.3,100,1.3,2.3,55.6,0.8,6.8,7.5,1.5,0.5,0.5,2.8,1.8,31,0,0,-8.8
20,Mo Bamba,NOP,27,2,0,2,15.9,7.5,3,5,60,1,2,50,0.5,1,50,1.5,3.5,5,0,0.5,0,0,2.5,13,0,0,-8.5
23,Nick Richards,PHX,27,43,15,28,23.7,9.7,3.9,6.6,59.9,0,0,0,1.9,2.5,75.7,2.8,6.1,8.9,0.9,1.6,0.2,1,2.7,23.8,14,0,-4.7
24,Domantas Sabonis,SAC,29,70,36,34,34.7,19.1,7.5,12.8,59,0.9,2.2,41.7,3.1,4.1,75.4,3.8,10.1,13.9,6,2.9,0.7,0.4,3.3,45.1,61,10,2.1
25,Bismack Biyombo,SAS,32,26,9,17,19.9,5.4,2.5,4.3,58.6,0,0,0,0.4,1,40,1.6,4.3,5.9,1.2,1,0.6,0.9,1.9,17.8,3,0,-4
26,Zach Collins,CHI,27,12,7,5,26,14.3,5.2,8.8,58.5,0.9,3.1,29.7,3,3.6,83.7,2.5,5.7,8.2,2.5,1.6,0.8,0.8,3,31.2,4,0,2.6
27,Isaiah Hartenstein,OKC,27,53,45,8,28,11.2,4.9,8.4,58.4,0,0.3,0,1.4,2,68.2,2.9,7.9,10.8,3.8,1.7,0.8,1,3,33.7,26,0,7.7
28,Kylor Kelley,NOP,27,2,0,2,27.3,8.5,3.5,6,58.3,0,0,0,1.5,2,75,2,6.5,8.5,1,0.5,0.5,0.5,2,22.7,1,0,-16.5
29,Neemias Queta,BOS,25,6,5,1,24.7,9.8,4.2,7.2,58.1,0,0.2,0,1.5,2,75,2.5,3.3,5.8,1.2,0.5,0.2,1.3,2.7,22.6,0,0,9.2
30,Onyeka Okongwu,ATL,24,40,17,23,31.2,15,5.9,10.1,58.1,0.9,2.4,36.2,2.4,3.2,76.2,3.1,7,10.1,2.7,1.6,1.2,0.9,3,35.7,19,0,1.6
31,Mitchell Robinson,NYK,27,3,1,2,23,9.7,3.7,6.3,57.9,0,0,0,2.3,3,77.8,5.3,3.3,8.7,0.7,0.7,1,1,2.3,26.4,1,0,-0.3
32,Zach Edey,MEM,23,55,31,24,21.4,8.7,3.7,6.4,57.8,0.2,0.8,27.9,1.1,1.7,65.6,3.5,5,8.5,0.9,1.3,0.5,1.3,2.6,24.3,11,0,1.6
33,Zeke Nnaji,DEN,24,4,3,1,27.8,11,3.8,6.5,57.7,1.8,3.3,53.8,1.8,3,58.3,2,1.8,3.8,1,0.5,0.8,2,3,24.8,0,0,12.3
34,Nikola Jokić,DEN,30,70,46,24,36.7,29.6,11.2,19.5,57.6,2,4.7,41.7,5.2,6.4,80,2.9,9.9,12.7,10.2,3.3,1.8,0.6,2.3,64.3,59,34,8.5
35,Steven Adams,HOU,31,3,1,2,23.7,10,4,7,57.1,0,0,0,2,3,66.7,5,4.7,9.7,1,0.3,1.3,1.3,2,30.8,1,0,1.3
36,Clint Capela,ATL,31,41,22,19,22.8,9.3,4.2,7.3,56.8,0,0,0,1,1.8,52,3.1,5.8,9,1.2,0.9,0.6,1,2,25.7,9,0,-0.2
37,Deandre Ayton,POR,26,40,17,23,30.1,14.4,6.6,11.7,56.6,0.2,0.8,18.8,1,1.5,66.7,3.1,7.1,10.2,1.6,1.7,0.8,1,2.2,32.5,20,0,-4.1
38,Colin Castleton,TOR,24,4,2,2,29.4,8.5,3.3,5.8,56.5,0.3,0.5,50,1.8,2.3,77.8,3.3,4.5,7.8,1.3,2.5,0.5,1.5,2.5,23.2,0,0,-4.5
39,Evan Mobley,CLE,23,71,58,13,30.5,18.5,7.1,12.8,55.7,1.2,3.2,37,3.1,4.3,72.5,2.3,7,9.3,3.2,2,0.9,1.6,2,39.8,37,0,7.7
40,Jock Landale,HOU,29,3,0,3,26.7,8.3,3.3,6,55.6,0.7,1.7,40,1,1.3,75,1.3,4.3,5.7,2,1.3,1,0,2.7,19.8,0,0,-5.3
40,Moritz Wagner,ORL,28,1,0,1,27.6,14,5,9,55.6,0,2,0,4,7,57.1,0,5,5,0,2,2,0,0,24,0,0,-14
42,Nic Claxton,BKN,26,62,18,44,27.5,10.4,4.6,8.4,55,0.1,0.3,23.8,1.2,2.2,52.9,2.3,5.1,7.4,2.2,1.3,0.9,1.5,2,28.5,11,0,-8.1
43,Yves Missi,NOP,21,67,17,50,27.2,9.2,3.7,6.8,55,0,0,0,1.7,2.7,63.6,3.6,4.8,8.4,1.3,1.2,0.5,1.3,2,25.4,13,0,-7.7
44,Mason Plumlee,PHX,35,21,9,12,21.1,4.6,1.9,3.5,54.8,0,0,0,0.8,1.2,65.4,2,6,8,2.5,1.1,0.5,0.9,2.3,21,1,0,-2
45,Robert Williams III,POR,27,3,1,2,18.4,6,2.3,4.3,53.8,0,0,0,1.3,1.3,100,2.3,4,6.3,1.3,0.7,1,3.3,1.7,27.9,0,0,-7.3
46,Kel'el Ware,MIA,21,36,15,21,28.4,10.8,4.8,8.9,53.6,0.6,2.1,28.4,0.7,1.1,68.4,2.5,7.5,10,1.3,1.2,0.7,1.3,2.2,29.3,14,0,0.9
47,John Collins,UTA,27,31,10,21,32.3,19.9,7.3,13.6,53.4,1.6,3.9,41,3.7,4.5,82.6,2.3,6.1,8.4,1.8,2.5,1,1.1,2.7,36.2,10,0,1.1
48,Nikola Vučević,CHI,34,72,33,39,31.3,18.6,7.6,14.3,52.9,1.8,4.4,40,1.7,2.1,80.5,2.4,7.6,10.1,3.5,1.6,0.8,0.7,2.2,39,44,1,-1.4
49,Orlando Robinson,TOR,24,8,6,2,26.1,12.3,5,9.5,52.6,0.9,2.1,41.2,1.4,1.5,91.7,3.6,4.3,7.9,3.1,1.3,0.5,0.5,2.5,28.1,2,0,7.6
50,Karl-Anthony Towns,NYK,29,72,46,26,35,24.4,8.9,16.9,52.6,2,4.7,42,4.7,5.7,82.9,2.9,9.8,12.8,3.1,2.7,1,0.7,3.5,46.8,58,1,5.3
51,Donovan Clingan,POR,21,37,17,20,24.5,7.9,3.3,6.3,52.6,0.2,1,25,1.1,1.9,54.9,4.2,5.8,10,1.6,1.1,0.6,2.1,3.2,29.5,7,0,1.4
