PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,
1,Chris Paul,SAS,40,82,34,48,28,114.2,115,-0.8,34.2,4.69,45,1.4,11,6.2,9.6,54.7,58,13.7,100.48,10.2,4817
1,Jalen Green,HOU,23,82,52,30,32.9,113.8,111.1,2.8,15.9,1.39,13.7,1.5,12,6.5,9.9,50.5,54.4,26.7,99.75,11.1,5610
1,Mikal Bridges,NYK,28,82,51,31,37,118.4,112.9,5.6,14.1,2.32,18.3,2.4,6.3,4.3,7.9,57,58.5,19.2,98.1,9,6200
4,Anthony Edwards,MIN,23,79,48,31,36.3,116.2,111.4,4.8,20.9,1.44,14.8,2.1,13.1,7.7,10.3,54.7,59.5,30.7,98.27,14,5883
4,James Harden,LAC,35,79,50,29,35.3,115.4,109.2,6.2,36.5,2.01,26.9,2,14.3,8.3,13.4,50.1,58.2,28.6,98.82,14.5,5737
6,Christian Braun,DEN,24,77,47,30,34,122.8,113.9,8.9,9.7,2.62,17.2,3.9,10.9,7.6,6.6,63.3,66.5,15.5,101.09,9.6,5516
6,DeMar DeRozan,SAC,35,77,38,39,35.9,116.8,115.3,1.5,18.2,3.26,17.7,1.8,9,5.4,5.4,50.9,56.9,24.4,99.35,11.2,5740
6,Josh Hart,NYK,30,77,48,29,37.6,117.9,114.3,3.6,20.6,2.87,30.8,5.7,20.3,13,10.8,57.9,61.1,15.1,97.79,11.9,5898
6,Kentavious Caldwell-Pope,ORL,32,77,38,39,29.6,109.1,108.6,0.5,8.6,2.19,17.7,1.4,6.4,3.8,8.1,54.3,57.4,12.1,96.52,6.5,4577
6,Tim Hardaway Jr.,DET,33,77,41,36,28,113.8,114.2,-0.5,7.4,2.56,13.6,0.8,7.5,4.2,5.3,52.9,56.7,15.1,100.66,6.6,4535
6,Tyler Herro,MIA,25,77,37,40,35.4,113.9,112.6,1.3,25.4,2.14,20,1.3,13.2,7.3,9.3,56.3,60.5,27.1,97.78,13.9,5564
12,Derrick White,BOS,30,76,58,18,33.9,119.7,109.5,10.2,19.9,2.76,23.7,2.5,10.1,6.4,8.6,58,60.6,19.5,97.89,10.6,5251
