Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,
1,Pat Connaughton,MIL,32,1,1,0,43.6,43,16,29,55.2,5,12,41.7,6,9,66.7,1,10,11,5,2,2,0,2,67.7,1,0,7
2,Shai Gilgeous-Alexander,OKC,26,76,63,13,34.2,32.7,11.3,21.8,51.9,2.1,5.7,37.5,7.9,8.8,89.8,0.9,4.1,5,6.4,2.4,1.7,1,2.2,54.1,6,0,12.1
3,Luka Dončić,LAL,26,50,31,19,35.4,28.2,9.2,20.5,45,3.5,9.6,36.8,6.2,7.9,78.2,0.8,7.4,8.2,7.7,3.6,1.8,0.4,2.5,52.5,21,5,6.9
4,Anthony Edwards,MIN,23,79,48,31,36.3,27.6,9.1,20.4,44.7,4.1,10.3,39.5,5.3,6.3,83.7,0.8,4.9,5.7,4.5,3.2,1.2,0.6,1.9,43.4,7,0,3.7
5,Jayson Tatum,BOS,27,72,53,19,36.4,26.8,9.2,20.3,45.2,3.5,10.1,34.3,5,6.1,81.4,0.7,8,8.7,6,2.9,1.1,0.5,2.2,48,31,2,7.4
6,Tyrese Maxey,PHI,24,52,20,32,37.7,26.3,9.2,21,43.7,3.1,9.2,33.7,4.9,5.6,87.9,0.3,3.1,3.3,6.1,2.4,1.8,0.4,2.2,43.6,8,1,-2.4
7,Cade Cunningham,DET,23,70,38,32,35,26.1,9.8,20.8,46.9,2.1,6,35.6,4.5,5.3,84.6,0.8,5.3,6.1,9.1,4.4,1,0.8,2.8,48,31,9,2.5
8,Jalen Brunson,NYK,28,65,40,25,35.4,26,9,18.5,48.8,2.3,6.1,38.3,5.7,6.9,82.1,0.4,2.5,2.9,7.3,2.5,0.9,0.1,2.1,41,14,0,2.2
9,Ty Jerome,CLE,27,3,2,1,26.8,25.7,9.3,16.7,56,5,8.3,60,2,2,100,0.7,1.7,2.3,5,2,0,0.3,0.7,35,0,0,18.3
10,Devin Booker,PHX,28,75,35,40,37.3,25.6,8.7,18.9,46.1,2.4,7.3,33.2,5.8,6.4,89.4,1,3.1,4.1,7.1,2.9,0.9,0.2,2.6,41.5,16,0,-2.4
11,LaMelo Ball,CHA,23,47,16,31,32,25.2,8.6,21.3,40.5,3.8,11.2,33.9,4.1,4.9,84.3,1,3.9,4.9,7.4,3.6,1.1,0.3,3.3,42.9,13,0,-2.8
12,Damian Lillard,MIL,34,58,32,26,36.1,24.9,7.7,17.1,44.8,3.4,9,37.6,6.2,6.8,92.1,0.5,4.2,4.7,7.1,2.8,1.2,0.2,1.7,42.5,14,2,0.9
13,Kyrie Irving,DAL,33,50,28,22,36.1,24.7,8.9,18.9,47.3,2.9,7.2,40.1,3.9,4.3,91.6,1.2,3.6,4.8,4.6,2.2,1.3,0.5,2,40.5,0,0,2.5
14,Stephen Curry,GSW,37,70,41,29,32.2,24.5,8.1,18,44.8,4.4,11.2,39.7,4,4.3,93.3,0.6,3.9,4.4,6,2.9,1.1,0.4,1.4,40.7,9,0,4.3
15,Trae Young,ATL,26,76,36,40,36,24.2,7.4,18.1,41.1,2.9,8.4,34,6.5,7.4,87.5,0.5,2.6,3.1,11.6,4.7,1.2,0.2,1.9,44.7,51,0,0.4
16,Donovan Mitchell,CLE,28,71,55,16,31.4,24,8.2,18.6,44.3,3.3,8.9,36.8,4.2,5.1,82.3,0.8,3.7,4.5,5,2.1,1.3,0.2,2,39.5,6,0,7.4
17,Cam Thomas,BKN,23,23,7,16,31.9,23.9,8,18,44.7,2.7,7.7,35.6,5.1,5.8,87.3,0.5,2.6,3,3.8,2.6,0.6,0.1,1.8,32.6,1,0,-4.3
18,Tyler Herro,MIA,25,77,37,40,35.4,23.9,8.5,17.9,47.2,3.3,8.7,37.5,3.7,4.2,87.8,0.5,4.7,5.2,5.5,2.6,0.9,0.2,1.1,39.2,9,0,1.3
19,Jared McCain,PHI,21,8,1,7,36.6,23.8,8.3,17.9,46.2,3.6,9.3,39.2,3.6,4.4,82.9,0.6,2.8,3.4,4.3,2.4,0.9,0,2.4,34.4,1,0,-1.9
20,De'Aaron Fox,SAS,27,62,27,35,36.1,23.5,8.7,18.8,46.3,1.9,6.1,31,4.2,5.1,82.7,0.9,3.9,4.8,6.3,2.8,1.5,0.4,2.6,41.6,9,0,-1.1
21,Zach LaVine,SAC,30,74,32,42,35.2,23.3,8.4,16.5,51.1,3.2,7.2,44.6,3.2,3.9,82.5,0.3,4,4.3,4.2,2.8,0.8,0.2,1.6,34.7,6,0,-0.9
22,Ja Morant,MEM,25,50,30,20,30.4,23.2,8.1,17.8,45.4,1.8,5.7,30.9,5.3,6.4,82.4,0.7,3.4,4.1,7.3,3.7,1.2,0.2,2.3,39.7,13,1,4.5
23,Cam Spencer,MEM,25,1,1,0,37.3,23,8,19,42.1,5,12,41.7,2,2,100,2,0,2,7,0,3,0,3,44.9,0,0,18
24,James Harden,LAC,35,79,50,29,35.3,22.8,6.7,16.4,41,3,8.5,35.2,6.4,7.3,87.4,0.7,5.1,5.8,8.7,4.3,1.5,0.7,2.1,45,38,3,4.4
25,DeMar DeRozan,SAC,35,77,38,39,35.9,22.2,8.1,17,47.7,1.1,3.3,32.8,4.9,5.7,85.7,0.6,3.2,3.9,4.4,1.4,0.8,0.4,1.9,35.8,3,0,1.4
26,Jaylen Brown,BOS,28,63,46,17,34.3,22.2,8.2,17.7,46.3,1.8,5.7,32.4,3.9,5.1,76.4,1.3,4.5,5.8,4.5,2.6,1.2,0.3,2.4,37.8,5,0,6.4
27,Norman Powell,LAC,31,60,39,21,32.6,21.8,7.6,15.8,48.4,3,7.1,41.8,3.6,4.4,80.4,0.4,2.8,3.2,2.1,1.8,1.2,0.2,1.9,31,1,0,5.9
28,Payton Pritchard,BOS,27,3,2,1,35.1,21.7,9,18.7,48.2,3,9.3,32.1,0.7,0.7,100,1.3,3.7,5,7.3,2.3,0.7,0,1.7,38.3,1,0,0.7
29,Jalen Williams,OKC,24,69,55,14,32.4,21.6,8.2,16.9,48.4,1.8,4.9,36.5,3.4,4.3,78.9,0.9,4.5,5.3,5.1,2.2,1.6,0.7,2.3,40.4,3,0,6.6
30,Jamal Murray,DEN,28,67,41,26,36.1,21.4,7.9,16.7,47.4,2.3,5.9,39.3,3.3,3.7,88.6,0.7,3.2,3.9,6,2.1,1.4,0.5,1.9,38.6,5,0,4.9
31,CJ McCollum,NOP,33,56,17,39,32.7,21.1,7.9,17.9,44.4,3.1,8.2,37.3,2.2,3.1,71.7,0.8,3,3.8,4.1,1.9,0.8,0.4,2.2,33.6,0,0,-5
32,RJ Barrett,TOR,24,58,23,35,32.2,21.1,7.9,16.9,46.8,1.8,5.3,35,3.4,5.4,63,1.1,5.3,6.3,5.4,2.8,0.8,0.3,2.4,37.2,10,2,-2.4
33,Jalen Green,HOU,23,82,52,30,32.9,21,7.4,17.5,42.3,2.9,8.1,35.4,3.3,4.1,81.3,0.5,4,4.6,3.4,2.5,0.9,0.3,1.5,32.8,4,0,2
34,Darius Garland,CLE,25,75,60,15,30.7,20.6,7.4,15.7,47.2,2.8,7.1,40.1,3,3.4,87.8,0.6,2.2,2.9,6.7,2.5,1.2,0.1,1.9,35.7,7,0,6.7
35,Coby White,CHI,25,73,34,39,33.2,20.5,6.9,15.2,45.4,2.9,7.9,37,3.8,4.2,90.1,0.3,3.3,3.7,4.4,2.4,0.9,0.2,2.1,32.5,2,0,-2.5
36,Jordan Poole,WAS,25,68,15,53,29.4,20.5,6.7,15.5,43.2,3.5,9.1,37.8,3.6,4,88.3,0.5,2.5,3,4.5,3,1.3,0.4,3,32.7,1,0,-8.2
37,Quentin Grimes,PHI,25,37,9,28,32.5,20.2,7,14.7,47.5,2.8,7.3,38.7,3.4,4.6,74.6,0.9,4.1,4.9,4.1,2.8,1.4,0.4,2.1,34.8,4,0,-6.5
38,Austin Reaves,LAL,26,73,46,27,34.9,20.2,6.5,14.2,46,2.7,7.3,37.7,4.4,5,87.7,0.8,3.7,4.5,5.8,2.4,1.1,0.3,2.1,36.1,9,1,2.7
39,Lonnie Walker IV,PHI,26,7,1,6,32.6,20.1,7.4,16.6,44.8,3.6,9.3,38.5,1.7,2.3,75,0.3,3.6,3.9,3.4,1.9,0.3,0.1,2.6,29.3,0,0,-8.4
40,Craig Porter Jr.,CLE,25,1,0,1,42.8,20,7,19,36.8,4,9,44.4,2,4,50,1,4,5,5,7,0,2,2,32.5,0,0,-22
41,Bogdan Bogdanović,LAC,32,4,2,2,36.9,19.8,7.5,14.5,51.7,2.8,7.3,37.9,2,2,100,0,5.3,5.3,3.8,3,0.3,0.3,2.8,30.2,1,0,15.3
41,Shaedon Sharpe,POR,21,52,19,33,33.5,19.8,7.4,16.2,45.6,2.1,6.8,30.8,2.8,3.6,78.7,1,3.9,4.9,3,2.2,1,0.2,1.8,31.4,3,0,-2.3
43,Malik Beasley,DET,28,18,11,7,32.9,19.7,6.8,14.9,45.5,4.4,10.7,40.9,1.8,2.1,84.2,0.8,2.4,3.2,2.4,0.9,0.7,0.1,1.9,28.3,1,0,3.7
44,Reed Sheppard,HOU,20,3,0,3,36.4,19.7,7.3,15,48.9,4.3,8.3,52,0.7,0.7,100,0,3.3,3.3,4.7,3.3,2,0.7,2,35.3,0,0,-20.7
45,Scottie Barnes,TOR,23,65,26,39,32.8,19.3,7.3,16.4,44.6,1.2,4.3,27.1,3.5,4.6,75.5,1.7,6,7.7,5.8,2.8,1.4,1,1.7,41.6,26,1,-2
46,Anfernee Simons,POR,25,70,28,42,32.7,19.3,6.8,16.1,42.6,3.1,8.5,36.3,2.5,2.8,90.2,0.4,2.3,2.7,4.8,2,0.9,0.1,1.7,30.5,2,0,-3.1
47,Desmond Bane,MEM,26,68,38,30,32,19.3,7.1,14.8,48.4,2.4,6.1,39.4,2.6,2.9,89.7,0.9,5.2,6.1,5.4,2.4,1.1,0.4,2.4,36.9,10,1,1.9
