PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Tidjane Salaün,CHA,60,0.2,2.9,1.39,0.3,0.1,0.2,44.4,66.7,23.1,7.7,23.1,0,53.8,100
Lonnie Walker IV,PHI,20,1.1,8.4,1.38,1.5,0.5,0.9,58.8,67.6,23.8,4.8,23.8,9.5,61.9,99.6
D'Angelo Russell,LAL,29,0.6,4.4,1.35,0.8,0.3,0.5,57.1,71.4,11.8,11.8,11.8,5.9,52.9,99.3
Christian Braun,DEN,79,0.2,1.8,1.33,0.3,0.1,0.2,66.7,70.8,22.2,11.1,22.2,0,66.7,98.9
Marcus Smart,WAS,15,1.1,11.2,1.31,1.4,0.6,1,60,66.7,6.3,6.3,6.3,6.3,56.3,98.5
Keegan Murray,SAC,76,0.2,1.3,1.25,0.2,0.1,0.2,58.3,62.5,0,0,0,0,58.3,98.2
Ty Jerome,CLE,70,0.6,5.5,1.24,0.7,0.2,0.4,58.6,70.7,19,14.3,19,2.4,54.8,97.8
Jose Alvarado,NOP,56,0.7,5.8,1.22,0.8,0.3,0.6,48.4,59.7,13.5,5.4,13.5,2.7,51.4,97.4
Tre Mann,CHA,13,1.8,12.4,1.21,2.2,1,1.6,61.9,66.7,4.2,8.3,4.2,0,58.3,97
Tre Jones,CHI,18,0.6,5.7,1.2,0.7,0.3,0.5,55.6,55.6,10,0,10,0,60,96.7
Amir Coffey,LAC,72,0.1,1.6,1.2,0.2,0.1,0.1,50,55,10,0,10,10,50,96.7
Nick Smith Jr.,CHA,60,0.7,6.4,1.19,0.9,0.3,0.6,51.4,54.1,14,2.3,14,2.3,55.8,95.9
Jared McCain,PHI,23,1,6.5,1.18,1.1,0.5,0.8,61.1,61.1,9.1,9.1,9.1,0,59.1,95.6
Kelly Olynyk,NOP,20,0.6,5,1.18,0.7,0.2,0.4,57.1,57.1,27.3,9.1,18.2,0,63.6,95.6
Jaime Jaquez Jr.,MIA,66,0.8,9,1.18,1,0.4,0.7,55.8,57,23.2,8.9,21.4,8.9,57.1,94.8
Nikola Vučević,CHI,73,0.2,1.4,1.18,0.3,0.1,0.2,56.3,56.3,5.9,0,5.9,0,58.8,94.5
Brandon Williams,DAL,33,0.9,11.8,1.17,1.1,0.4,0.6,63.2,65.8,23.3,20,16.7,6.7,56.7,94.1
Kris Dunn,LAC,74,0.2,2.3,1.17,0.2,0.1,0.1,66.7,72.2,8.3,16.7,8.3,0,58.3,94.1
De'Aaron Fox,SAS,17,3.7,17.9,1.16,4.3,1.5,2.9,52,54,17.5,6.3,15.9,3.2,55.6,93.4
Kevin Durant,PHX,62,4.5,18.9,1.16,5.2,1.9,3.4,55.8,57.5,18.1,10.8,16.6,4,55.6,93
Zach LaVine,CHI,42,3.6,16.6,1.15,4.1,1.5,3,48.4,57.1,12,6,12,2,50.7,92.6
Kyle Anderson,GSW,36,0.4,7.5,1.13,0.5,0.2,0.4,53.8,53.8,13.3,6.7,6.7,6.7,53.3,92.3
T.J. McConnell,IND,79,0.5,4.9,1.13,0.5,0.3,0.4,60,60,2.6,5.3,2.6,0,57.9,91.9
Cam Thomas,BKN,25,2.8,11.9,1.13,3.1,1.1,2.4,45.9,54.1,10.1,4.3,8.7,2.9,47.8,91.5
Marcus Sasser,DET,57,0.5,8.3,1.13,0.6,0.2,0.4,48,62,16.1,12.9,16.1,9.7,45.2,91.1
Deni Avdija,POR,72,1,5.8,1.13,1.1,0.4,0.7,52.9,56.9,24.3,8.6,21.4,5.7,55.7,90.8
Dennis Schröder,DET,28,1.7,14.2,1.13,1.9,0.6,1.2,50,54.4,21.3,10.6,17,4.3,53.2,90.4
Devin Vassell,SAS,64,1.2,7.6,1.11,1.4,0.5,1.1,50,57.1,5.1,6.4,5.1,1.3,48.7,90
Talen Horton-Tucker,CHI,58,0.3,4.8,1.11,0.3,0.1,0.2,50,64.3,11.1,11.1,11.1,0,50,89.6
Santi Aldama,MEM,65,0.3,2.4,1.11,0.3,0.1,0.2,50,54.2,22.2,11.1,22.2,0,55.6,89.6
Shai Gilgeous-Alexander,OKC,76,7,25.1,1.1,7.7,2.7,5.7,46.4,50.8,16.1,4.7,14.3,2.4,51.4,88.9
Tyus Jones,PHX,81,0.3,2.6,1.09,0.3,0.1,0.3,52.4,54.8,0,0,0,0,52.4,88.6
John Collins,UTA,40,0.8,4.5,1.09,0.9,0.3,0.6,52.2,52.2,18.8,12.5,18.8,3.1,53.1,88.2
Cameron Johnson,BKN,57,0.8,4.9,1.09,0.9,0.3,0.6,45.7,52.9,17.4,8.7,17.4,2.2,50,87.8
Kyle Kuzma,MIL,33,0.8,4.9,1.08,0.8,0.3,0.6,57.9,65.8,4,20,4,0,48,87.5
Devin Booker,PHX,75,2.2,9,1.07,2.4,0.9,1.8,48.9,52.2,13.9,8.5,12.1,4.2,49.7,87.1
Jalen Brunson,NYK,65,4.1,17.3,1.07,4.4,1.6,3.3,49.3,54,16,10.1,14.6,5.6,48.9,86.7
D'Angelo Russell,BKN,29,1,6.8,1.07,1.1,0.3,0.8,37.5,50,13.8,3.4,6.9,0,44.8,86.3
Jimmy Butler III,GSW,30,2.5,15.4,1.07,2.6,0.6,1.5,39.1,41.3,35.1,8.1,35.1,5.4,52.7,86
Luka Dončić,LAL,28,6.2,22.6,1.06,6.6,2,4.9,40.9,48.9,18.4,8,18.4,5.2,45.4,85.6
Kyrie Irving,DAL,50,5.1,22.4,1.06,5.4,2,4.5,44.2,51.1,8.6,5.5,7.8,2,45.5,85.2
Seth Curry,CHA,68,0.2,4.1,1.06,0.3,0.1,0.2,50,53.6,12.5,12.5,12.5,12.5,43.8,84.9
