PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Nikola Vučević,CHI,73,4.7,28.3,1.15,5.4,2.3,4.3,52.7,58.4,5.8,4.6,5.2,2.3,51.3,60.5
Domantas Sabonis,SAC,70,3.9,22.4,1.22,4.8,1.9,3.3,57.5,62.9,12,6.2,12,2.9,57.5,75.6
Jarrett Allen,CLE,82,3,28.9,1.31,4,1.7,2.4,68.5,68.5,16.8,7.6,16.4,4.4,66,86.5
Myles Turner,IND,72,4,27.9,1.11,4.5,1.6,3.4,46.9,54.7,12.4,5.9,12.1,2.8,49.3,53.8
Ivica Zubac,LAC,80,2.9,19.6,1.25,3.6,1.6,2.5,66.5,66.5,7.9,7.5,7.9,1.8,62.7,78.2
Nikola Jokić,DEN,70,3.1,12,1.29,3.9,1.5,2.5,58.2,65,14,6.1,11.7,2.8,59.3,83.5
Brook Lopez,MIL,80,2.8,24.2,1.2,3.3,1.2,2.5,49,59,9.5,2.7,9.5,2.3,51.4,72.6
Alperen Sengun,HOU,76,3.7,18.2,0.94,3.5,1.4,3,46.7,47.8,12.9,7.2,12.5,2.2,47.7,29.3
Onyeka Okongwu,ATL,74,2.7,22.7,1.28,3.4,1.4,2.1,64.8,66.4,17.2,6.6,17.2,4,64.6,82.3
Karl-Anthony Towns,NYK,72,2.8,12.6,1.25,3.4,1.2,2.2,55,61.3,17.2,5.6,16.7,3.5,58.1,78.6
Bam Adebayo,MIA,78,3.3,17.9,0.96,3.1,1.3,2.8,47,49.3,9.8,7.5,9.8,2,47.2,32.3
Anthony Davis,LAL,42,4.5,19.2,1.23,5.5,2.2,4,56,60.5,11.1,5.3,10.5,3.7,56.3,75.9
Jakob Poeltl,TOR,57,3.3,24.9,1.2,4,1.9,2.9,63.9,63.9,6.9,6.4,5.9,1.6,60.6,71.8
Alex Sarr,WAS,67,4,26.3,0.79,3.1,1.2,3.5,33.6,39.9,7.1,6.7,6.7,0.4,35.4,13.2
Yves Missi,NOP,73,2.5,27.4,1.11,2.8,1.1,1.9,59.1,59.1,21.4,7.1,20.9,3.8,57.1,55.6
Kristaps Porziņģis,BOS,42,3.7,21.6,1.27,4.7,1.6,3.2,50.4,63.3,12.3,4.5,12.3,3.9,51.6,80.8
Rudy Gobert,MIN,72,2.3,22.3,1.21,2.7,1.1,1.6,66.7,66.7,21.6,9.9,21,3.7,63,73.7
Victor Wembanyama,SAS,46,3.5,15,1.17,4.1,1.5,3.1,48.6,58.3,9.8,6.1,9.8,4.3,47.9,65.4
Mark Williams,CHA,44,3.9,28.8,1.09,4.2,1.5,2.9,53.5,53.5,21.2,8.8,20.6,4.7,55.9,52.6
Guerschon Yabusele,PHI,70,2.3,23,1.12,2.6,1,2.1,48,57.8,4.9,4.9,4.9,0.6,47.2,56.4
Deandre Ayton,POR,40,4,28.1,1.13,4.5,2.1,3.5,58.2,59.2,6.9,6.3,5.7,1.9,56.6,56.8
Kel'el Ware,MIA,64,2.1,24,1.2,2.5,1.1,1.8,59.8,61.5,9.8,5.3,9.8,3,59.4,72.9
Jalen Duren,DET,78,1.6,16,1.21,2,0.8,1.2,69.9,69.9,19.7,11,18.9,3.9,63,74.8
Jonas Valančiūnas,WAS,49,2.6,23.1,1.15,3,1.3,2.3,54.9,56.2,10.9,4.7,10.9,3.1,55.8,61.3
Naz Reid,MIN,80,1.8,12.9,1.05,1.9,0.7,1.5,42.3,53.3,8.5,6.4,8.5,2.1,42.6,43.6
Nic Claxton,BKN,70,1.8,16.9,1.06,1.9,0.8,1.4,59,59,15.4,5.7,13.8,2.4,55.3,45.9
Jalen Smith,CHI,64,1.7,22.9,1.16,2,0.8,1.6,49,58,9,4.5,9,3.6,49.5,63.9
Clint Capela,ATL,55,2.1,24.3,1.06,2.3,1,1.8,56,56,11.1,4.3,10.3,0.9,54.7,46.6
Daniel Gafford,DAL,57,1.8,18.7,1.16,2.1,1,1.6,62.9,62.9,8.7,7.7,8.7,1.9,60.6,65
Joel Embiid,PHI,19,5.9,24.7,1.07,6.4,2.1,4.4,47,54.2,15,12.4,15,0.9,48.7,49.6
Wendell Carter Jr.,ORL,68,1.7,18,1.03,1.8,0.7,1.3,49.5,52.7,17.1,6.8,16.2,1.7,52.1,41.4
Tristan Vukcevic,WAS,35,2.7,29.7,1.28,3.4,1.2,2.3,51.9,62,16.1,5.4,16.1,6.5,53.8,82
Nick Richards,PHX,36,2.5,28.7,1.28,3.2,1.4,2,69,69,16.7,10,16.7,5.6,64.4,81.6
Walker Kessler,UTA,58,1.9,19.4,1.04,2,0.9,1.6,57.8,57.8,11.8,10.9,11.8,4.5,52.7,42.8
Julius Randle,MIN,69,1.4,7.7,1.09,1.6,0.6,1.1,50,60.3,9.1,14.1,9.1,2,46.5,51.9
Moussa Diabaté,CHA,71,1.3,22.7,1.2,1.5,0.7,1,68.6,68.6,14.6,12.4,14.6,5.6,61.8,72.2
Jaxson Hayes,LAL,56,1.4,24.8,1.37,1.9,0.8,1.2,72.3,72.3,19.7,2.6,19.7,7.9,71.1,91.4
Jeremy Sochan,SAS,54,1.6,14.1,1.21,1.9,0.8,1.3,59.2,59.2,19.8,5.8,19.8,8.1,59.3,73.3
Thomas Bryant,IND,56,1.4,22.7,1.31,1.8,0.7,1.3,52.8,61.1,11.5,0,11.5,3.8,56.4,86
Isaiah Stewart,DET,72,1.2,20.4,1.16,1.4,0.6,1,58.9,62.3,9.3,8.1,9.3,2.3,55.8,64.7
Lauri Markkanen,UTA,47,2.1,11.8,0.97,2.1,0.6,1.9,34.1,48.3,7,6,5,1,36,33.1
Toumani Camara,POR,78,0.9,7.7,1.37,1.2,0.4,0.7,59.6,72.8,11.8,7.4,11.8,2.9,57.4,91
Goga Bitadze,ORL,70,1.1,17,1.16,1.3,0.6,0.9,60.6,60.6,12.5,6.3,11.3,1.3,61.3,64.3
Donovan Clingan,POR,67,1.3,19.5,1.01,1.3,0.6,1.1,49.4,50,9.1,4.5,8,1.1,51.1,39.1
Brandon Clarke,MEM,64,1,14.8,1.28,1.3,0.6,1,60.7,60.7,14.9,0,14.9,6,64.2,82.7
Luke Kornet,BOS,73,0.9,18.1,1.33,1.2,0.5,0.7,67.3,67.3,21.9,6.3,21.9,4.7,68.8,87.6
Mason Plumlee,PHX,74,0.9,20.9,1.25,1.1,0.4,0.6,72.1,72.1,26.9,16.4,26.9,7.5,62.7,78.9
