PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Jamal Cain,NOP,37,0.3,5.4,1.54,0.5,0.2,0.3,70,85,0,9.1,0,0,63.6,100
Sam Hauser,BOS,71,0.3,4,1.45,0.4,0.2,0.3,57.9,73.7,5,5,5,5,55,99.7
De'Andre Hunter,CLE,27,0.9,7.3,1.42,1.3,0.5,0.9,56.5,71.7,4.2,0,4.2,0,58.3,99.4
Collin Gillespie,PHX,33,1.2,22.2,1.39,1.7,0.6,1,60.6,75.8,9.8,9.8,9.8,0,58.5,99.1
Jalen Duren,DET,78,0.3,2.5,1.35,0.3,0.1,0.2,71.4,71.4,35,10,35,15,70,98.8
John Collins,UTA,40,0.3,1.4,1.2,0.3,0.1,0.2,62.5,75,0,20,0,0,50,98.5
Jalen Pickett,DEN,49,0.8,19.9,1.2,1,0.4,0.7,55.6,68.1,0,12.2,0,0,48.8,98.2
Wendell Moore Jr.,DET,20,0.6,17.2,1.18,0.7,0.2,0.4,37.5,43.8,27.3,0,27.3,0,54.5,97.9
Landry Shamet,NYK,50,0.2,4.2,1.18,0.3,0.1,0.2,45.5,59.1,0,0,0,0,45.5,97.9
Caris LeVert,ATL,26,2,14.4,1.18,2.3,0.7,1.5,45,53.8,19.6,5.9,19.6,3.9,51,97.3
Justin Edwards,PHI,44,1.1,10.7,1.17,1.3,0.5,0.8,62.2,67.6,8.3,14.6,8.3,0,56.3,97
Jaylen Wells,MEM,79,0.3,3.4,1.15,0.4,0.2,0.3,50,56.3,7.4,7.4,7.4,3.7,48.1,96.7
Seth Curry,CHA,68,0.9,15.6,1.15,1,0.4,0.8,55.8,65.4,1.6,13.1,1.6,0,49.2,96.4
Kyle Filipowski,UTA,72,0.2,2.3,1.13,0.3,0.1,0.1,66.7,72.2,25,25,25,6.3,56.3,96.1
OG Anunoby,NYK,74,0.9,5.6,1.12,1,0.3,0.7,47.2,54.7,15.9,7.2,15.9,0,52.2,95.8
Tyrese Haliburton,IND,73,6.4,38.4,1.11,7.1,2.5,5.5,46,56.7,8.8,7.9,7.5,2.1,45.9,95.5
Alperen Sengun,HOU,76,0.7,3.5,1.11,0.8,0.3,0.5,63.2,64.5,16.7,16.7,13,3.7,55.6,95.2
Jimmy Butler III,MIA,25,3.4,23.2,1.11,3.7,1.3,2.5,53.2,53.2,22.6,8.3,19,4.8,56,94.9
Payton Pritchard,BOS,80,2.1,17.2,1.11,2.4,0.9,1.8,47.9,61.3,3.5,10.6,2.4,0,44.7,94.6
Shai Gilgeous-Alexander,OKC,76,9.6,34.2,1.1,10.6,3.7,7.2,51,55.3,16.5,11.4,14.7,3.6,51.4,94.3
Jeff Dowtin Jr.,PHI,41,2,30.6,1.09,2.1,0.9,1.8,48.6,54.1,7.4,4.9,6.2,3.7,48.1,93.9
Anthony Davis,LAL,42,1.9,8.2,1.09,2.1,0.8,1.5,53.2,54,18.5,8.6,16,3.7,55.6,93.9
