PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,"FT
Freq%","TOV
Freq%","SF
Freq%","And One
Freq%","Score
Freq%",Percentile
Grant Williams,CHA,16,0.6,6,1.7,1.1,0.4,0.5,87.5,87.5,20,10,20,10,80,100
Goga Bitadze,ORL,70,0.2,3.2,1.6,0.3,0.1,0.2,76.9,76.9,20,0,13.3,6.7,80,99.3
Sandro Mamukelashvili,SAS,61,0.2,3,1.6,0.3,0.1,0.1,85.7,85.7,40,0,40,10,90,99.3
Jarrett Allen,CLE,82,0.4,4.2,1.58,0.7,0.3,0.3,85.2,85.2,22.2,8.3,16.7,5.6,80.6,97.9
Dereck Lively II,DAL,36,0.4,5.2,1.5,0.6,0.3,0.4,76.9,76.9,7.1,7.1,7.1,7.1,71.4,97.2
Obi Toppin,IND,79,0.4,4.3,1.48,0.6,0.2,0.3,76,76,19.4,3.2,6.5,3.2,77.4,96.5
Devin Booker,PHX,75,0.7,2.7,1.37,0.9,0.3,0.5,62.9,62.9,32.7,8.2,26.5,12.2,65.3,95.8
Khris Middleton,MIL,23,1.3,11.2,1.37,1.8,0.8,1.1,72,72,13.3,10,13.3,6.7,66.7,95.1
Adem Bona,PHI,58,0.2,4.7,1.36,0.3,0.1,0.2,72.7,72.7,21.4,7.1,14.3,7.1,71.4,94.4
Jimmy Butler III,GSW,30,1,6,1.34,1.3,0.5,0.7,63.6,63.6,34.5,10.3,31,20.7,58.6,93.8
Trey Lyles,SAC,69,0.2,3.3,1.33,0.3,0.1,0.1,85.7,85.7,46.7,20,40,13.3,66.7,93.1
Michael Porter Jr.,DEN,77,0.1,0.9,1.27,0.2,0.1,0.1,62.5,62.5,27.3,9.1,18.2,9.1,63.6,92.4
Jabari Smith Jr.,HOU,57,0.8,6.7,1.26,1,0.4,0.7,61.5,61.5,13,2.2,8.7,0,65.2,91.7
Thomas Bryant,IND,56,0.3,4.7,1.25,0.4,0.2,0.3,71.4,71.4,0,12.5,0,0,62.5,90.9
Ja Morant,MEM,50,0.3,1.3,1.25,0.4,0.2,0.3,61.5,61.5,18.8,6.3,18.8,6.3,62.5,90.9
Jalen Duren,DET,78,0.4,3.8,1.23,0.5,0.2,0.3,72.7,72.7,10,16.7,10,0,63.3,89.6
Andrew Wiggins,MIA,17,1.9,10.2,1.21,2.4,0.9,1.4,65.2,65.2,27.3,9.1,21.2,6.1,63.6,88.9
Onyeka Okongwu,ATL,74,0.5,4.6,1.2,0.6,0.3,0.4,60.6,60.6,12.5,7.5,10,2.5,60,88.1
Spencer Dinwiddie,DAL,79,0.3,2.3,1.2,0.3,0.1,0.2,50,50,30,10,30,10,55,88.1
Kristaps Porziņģis,BOS,42,3.5,20.8,1.19,4.2,1.3,2.4,55.6,55.6,28.9,8.1,24.8,3.4,61.7,86.8
Jimmy Butler III,MIA,25,1,7.2,1.15,1.2,0.4,0.8,50,50,23.1,7.7,19.2,7.7,53.8,86.1
Jalen Brunson,NYK,65,0.7,3,1.15,0.8,0.4,0.7,56.8,56.8,4.3,2.2,4.3,2.2,56.5,85.4
Kawhi Leonard,LAC,37,1.4,7.1,1.15,1.6,0.7,1.2,56.8,56.8,15.1,3.8,15.1,1.9,60.4,84.7
Daniel Gafford,DAL,57,1,9.9,1.15,1.1,0.4,0.7,58.5,58.5,18.2,10.9,14.5,3.6,58.2,84
Trendon Watford,BKN,44,1,8.8,1.14,1.1,0.4,0.8,52.8,52.8,20.9,4.7,20.9,9.3,55.8,83.3
Joel Embiid,PHI,19,4.6,19.3,1.14,5.3,1.7,3.2,53.3,53.3,22.7,13.6,20.5,4.5,54.5,82.6
De'Andre Hunter,ATL,37,0.6,3.7,1.13,0.7,0.2,0.4,42.9,42.9,39.1,13,30.4,13,52.2,81.9
Jonas Valančiūnas,WAS,49,2.5,21.9,1.12,2.8,1.1,1.8,61.4,61.4,13.1,15.6,10.7,0.8,56.6,81.3
Harrison Barnes,SAS,82,0.6,6.1,1.12,0.7,0.3,0.5,52.5,52.5,18,6,18,4,54,80.6
Kyrie Irving,DAL,50,0.9,4,1.11,1,0.3,0.7,48.6,48.6,22.2,4.4,20,4.4,55.6,79.9
DeMar DeRozan,SAC,77,3,14.3,1.11,3.3,1.2,2.5,49.7,49.7,19.3,2.6,18.9,6.6,54.4,79.2
