merch_id,type,size,price
2ba15f58-5aec-4346-a514-920e05a7011b,Euphoria Map,,4.99
78b91e2f-5edf-4460-ab12-bcd39e6816c7,Nimbus Unit Logo T-Shirt,XL,15.99
1bfaca1b-9f28-4a33-933f-58c32324787d,Zion Lego Set,,40.99
1a7cae90-17cc-48d9-9ddd-905e7a21acd5,Deva Indra Yama Poster,,3.99
7566f153-2bb6-4a2d-a5ed-28e91093ffd3,Trek to Tarkana Manga,,10.99
c1f36063-5085-473c-9a6a-305b8d4523e4,All Kingdoms Fall Manga,,10.99
47dbfe7b-c85a-4dda-ae13-9799c8368d7b,Blood Money Manga,,10.99
fbe6fdd0-a847-4ccc-a461-ca94e3d84126,Meaner Than Evil Manga,,10.99
e358f636-9314-40c6-a4a5-9bf60b2a9c5d,Cold Rain Kai Plushy,,8.99
5ddd063b-dd68-458c-9018-d3b97f668e34,Nexus Plushy,,8.99
9ad7389c-5c68-4652-b895-6fae85218558,Apotheosis Replica,,200.99
f359cb79-df88-4c09-8479-aeba53db9097,Ontology Replica,,200.99
57ae5bb3-e0b0-4207-aeda-03089ad046c3,Nimbus Unit Team Photo T-Shirt,M,15.99
7f2a8d8a-1c2d-4fb4-8a7a-d4456298e04d,Dark Tribunal T-Shirt,XL,15.99
512e271d-93ec-45fd-a6c0-2bd60bdf9542,Najma Crystal Hoodie,M,23.99
269f74d0-5b4d-4f5d-82eb-92fe347bd26f,Tarkana Scale Model,,1500.99
2067838d-e955-4712-97ed-d76afdd48277,Saint Triumphum Bastile Lego Set,,140.99
57d710a4-a46d-4eb0-9297-427aa3425830,Musa Poster,,4.99
2b7e7379-4521-4e3e-a26d-ed795225a608,The Induction Co. Logo Hoodie,L,12.99
583cc68e-947e-4f3f-9b57-f0a88f6b6a30,Nimbus Unit Pin,,2.99
552ead23-2ad6-40da-8a8e-43654ec9a127,Nimbus Unit Authentic Uniform,L,80.99
ab70f310-dad9-4dc7-8175-9ecf0beff51b,Authentic Leather Shaman Robes,S,150.99
75a72b1c-4c3a-48d6-8fab-2cf214c459ea,Mahiman Replica,,35.99
58c3bf2f-341b-4d86-82bd-3fcefb00a693,Authentic Mahiman Trophy,,15000.99
76a4c974-a672-4a6d-aab1-41b6043075a0,Genesis Watch,,60.99
89a76dca-5a9c-45c0-986f-8c951314f9dd,Lahkt Brand Family Products T-Shirt,L,35.99
aa7c7903-8b7c-49fb-9588-f115dab40105,Tellers Toy,,12.99
836c9707-e848-4555-9764-07d85a8737b1,Tellers Big Bruiser Toy,,12.99
672f8e5b-b8cf-4c47-90dc-710950f36958,Tellers Samurai Toy,,12.99
d8e955a3-3722-48cd-b131-0398bc521554,GILS Unit Replica,,1200.99
2dea41a3-adc6-431f-b8b5-29973a00cef7,Zarathustra Generals T-Shirt,,60.99
