Country,2021,,2022,,2023,,2021 - 2023,
,Number of Reactors,"EAF
[%]",Number of Reactors,"EAF
[%]",Number of Reactors,"EAF
[%]",Number of Reactors,"EAF
[%]"
ARGENTINA,3,70.8,3,52,3,62.3,3,61.7
ARMENIA,1,49.5,1,68.2,1,67.3,1,61.6
BELARUS,1,58.8,1,45.4,2,79.8,2,62.8
BELGIUM,7,92,7,84,6,88.8,7,88.3
BRAZIL,2,83.7,2,83,2,82.6,2,83.1
BULGARIA,2,88.5,2,87.7,2,86.7,2,87.6
CANADA,19,72.2,19,67.7,19,69.2,19,69.7
CHINA,51,90.7,53,89.6,55,89.2,55,89.8
CZECH REPUBLIC,6,84.4,6,84.4,6,82.8,6,83.9
FINLAND,4,92.4,4,91.2,5,93.2,5,92.4
FRANCE,56,68.8,56,53.6,56,62.2,56,61.6
GERMANY,6,94.4,3,94,3,71.4,6,92.6
HUNGARY,4,89.5,4,88.5,4,89.4,4,89.1
INDIA,18,79.8,18,84.1,19,83.1,19,82.4
"IRAN, ISLAMIC REPUBLIC OF",1,69.3,1,91.8,1,74.8,1,78.6
JAPAN,10,70.8,10,59.6,12,84.7,12,71.9
"KOREA, REPUBLIC OF",24,74.2,25,81.4,25,79.8,25,78.5
MEXICO,2,85.2,2,77.4,2,88.9,2,83.9
"NETHERLANDS, KINGDOM OF THE",1,86.4,1,94.1,1,89.8,1,90.1
PAKISTAN,6,92.3,6,85.4,6,82.2,7,85.7
ROMANIA,2,91.3,2,89.7,2,90.9,2,90.6
RUSSIA,38,82.8,37,84.9,37,82.5,38,83.4
SLOVAKIA,4,89.9,4,90.6,4,92,4,90.8
SLOVENIA,1,89.6,1,87.8,1,87.8,1,88.4
SOUTH AFRICA,2,75,2,62.4,2,50.3,2,62.6
SPAIN,7,87.3,7,90,7,87.7,7,88.3
SWEDEN,6,84.6,6,82.7,6,77.9,6,81.7
SWITZERLAND,4,71.4,4,89,4,89.9,4,83.4
UKRAINE,15,70.1,,,,,,
UNITED ARAB EMIRATES,1,85.4,2,82.2,3,90.6,3,87.1
UNITED KINGDOM,15,58.5,11,77.4,9,72.4,15,68.4
UNITED STATES OF AMERICA,93,92.7,92,93.1,93,94.1,94,93.3
