Country,Nuclear share of electricity (%)2013,Nuclear share of electricity (%)2014,Nuclear share of electricity (%)2015,Nuclear share of electricity (%)2016,Nuclear share of electricity (%)2017,Nuclear share of electricity (%)2018,Nuclear share of electricity (%)2019,Nuclear share of electricity (%)2020,Nuclear share of electricity (%)2021,Nuclear share of electricity (%)2022,Nuclear share of electricity (%)2023,Nuclear electricity  production (billion kWh)2022,Nuclear electricity  production (billion kWh)2023
Argentina,4.4,4.0,4.8,5.6,4.5,4.7,5.9,7.5,7.2,5.4,6.3,7.5,9.0
Armenia,29.2,30.7,34.5,31.4,32.5,25.6,27.8,34.5,25.3,31.0,31.1,2.6,2.5
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.1,11.9,28.6,4.4,11.0
Belgium,52.1,47.5,37.5,51.7,49.9,39.0,47.6,39.1,50.8,46.4,41.2,41.7,31.3
Brazil,2.8,2.9,2.8,2.9,2.7,2.7,2.7,2.1,2.4,2.5,2.2,13.7,13.7
Bulgaria,30.7,31.8,31.3,35.0,34.3,34.7,37.5,40.8,34.6,32.6,40.4,15.8,15.5
Canada,16.0,16.8,16.6,15.6,14.6,14.9,14.9,14.6,14.3,12.9,13.7,81.7,83.5
China:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
- Mainland,2.1,2.4,3.0,3.6,3.9,4.2,4.9,4.9,5.0,5.0,4.9,395.4,406.5
- Taiwan,19.1,18.9,16.3,13.7,9.2,11.4,13.4,12.7,10.8,9.1,6.9,22.9,17.15
Czech Rep,35.9,35.8,32.5,29.4,33.1,34.5,35.2,37.3,36.6,36.7,40.0,29.3,28.7
Finland,33.3,34.6,33.7,33.7,33.2,32.4,34.7,33.9,32.8,35.0,42.0,24.2,32.8
France,73.3,76.9,76.3,72.3,71.6,71.7,70.6,70.6,69.0,62.5,64.8,282.1,323.8
Germany,15.5,15.8,14.1,13.1,11.6,11.7,12.4,11.3,11.9,5.8,1.4,31.9,6.7
Hungary,50.7,53.6,52.7,51.3,50.0,50.6,49.2,48.0,46.8,47.0,48.8,15.0,15.1
India,3.5,3.5,3.5,3.4,3.2,3.1,3.2,3.3,3.2,3.1,3.1,42.0,44.6
Iran,1.5,1.5,1.3,2.1,2.1,2.1,1.8,1.7,1.0,1.7,1.7,6.0,6.1
Japan,1.7,0.0,0.5,2.2,3.6,6.2,7.5,5.1,7.2,6.1,5.6,51.9,77.5
"Korea, S",27.6,30.4,31.7,30.3,27.1,23.7,26.2,29.6,28.0,30.4,31.5,167.5,171.6
Mexico,4.6,5.6,6.8,6.2,6.0,5.3,4.5,4.9,5.3,4.5,4.9,10.5,12.0
Netherlands,2.8,4.0,3.7,3.4,2.9,3.0,3.2,3.3,3.1,3.3,3.4,3.9,3.8
Pakistan,4.4,4.3,4.4,4.4,6.2,6.8,6.6,7.1,10.6,16.2,17.4,22.2,22.4
Romania,19.8,18.5,17.3,17.1,17.7,17.2,18.5,19.9,18.5,19.4,18.9,10.2,10.3
Russia,17.5,18.6,18.6,17.1,17.8,17.9,19.7,20.6,20.0,19.6,18.4,209.5,204.0
Slovakia,51.7,56.8,55.9,54.1,54.0,55.0,53.9,53.1,52.3,59.2,61.3,14.8,17.0
Slovenia,33.6,37.2,38.0,35.2,39.1,35.9,37.0,37.8,36.9,42.6,36.8,5.3,5.3
South Africa,5.7,6.2,4.7,6.6,6.7,4.7,6.7,5.9,6.0,4.9,4.4,10.1,8.2
Spain,19.7,20.4,20.3,21.4,21.2,20.4,21.4,22.2,20.8,20.3,20.3,56.0,54.4
Sweden,42.7,41.5,34.3,40.0,39.6,40.3,34.0,29.8,30.8,29.4,28.6,50.0,46.6
Switzerland,36.4,37.9,33.5,34.4,33.4,37.7,23.9,32.9,28.8,36.4,32.4,23.2,23.4
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,7.0,6.8,19.7,19.3,31.2
UK,18.3,17.2,18.9,21.2,19.3,17.7,15.6,14.5,14.8,14.2,12.5,43.5,37.3
Ukraineʠ,43.6,49.4,56.5,52.3,55.0,53.0,53.9,51.2,55.0,55.0,50.7,58.7,50.0
USA,19.4,19.5,19.5,19.7,20.0,19.3,19.7,19.7,19.6,18.2,18.6,772.2,779.2
TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545.0,2602.0
