Country,2021,,2022,,2023,,2021 - 2023,
,Number of Reactors,"UCF
[%]",Number of Reactors,"UCF
[%]",Number of Reactors,"UCF
[%]",Number of Reactors,"UCF
[%]"
ARGENTINA,3,70.9,3,52.8,3,63.3,3,62.3
ARMENIA,1,51.6,1,72.9,1,70.2,1,64.8
BELARUS,1,58.8,1,45.4,2,81,2,63.3
BELGIUM,7,92.7,7,85.4,6,90.1,7,89.4
BRAZIL,2,83.7,2,83,2,82.7,2,83.1
BULGARIA,2,89,2,88.2,2,87.7,2,88.3
CANADA,19,72.7,19,68.1,19,69.7,19,70.2
CHINA,51,91.4,53,90.3,55,89.8,55,90.5
CZECH REPUBLIC,6,85.1,6,85.3,6,83.9,6,84.8
FINLAND,4,93.2,4,92.1,5,93.9,5,93.2
FRANCE,56,72.7,56,58.1,56,67.3,56,66
GERMANY,6,95.6,3,95.4,3,88.1,6,95
HUNGARY,4,90.2,4,89.4,4,90,4,89.9
INDIA,18,81.3,18,85.6,19,84.6,19,83.8
"IRAN, ISLAMIC REPUBLIC OF",1,70.6,1,92.5,1,75.3,1,79.5
JAPAN,10,70.8,10,59.6,12,84.7,12,71.9
"KOREA, REPUBLIC OF",24,74.9,25,81.7,25,80.2,25,79
MEXICO,2,85.8,2,79.3,2,90.2,2,85.1
"NETHERLANDS, KINGDOM OF THE",1,86.4,1,94.1,1,90.1,1,90.2
PAKISTAN,6,92.4,6,86.8,6,84.5,7,87.2
ROMANIA,2,92.2,2,91.4,2,92.5,2,92
RUSSIA,38,83.8,37,85.6,37,83.1,38,84.2
SLOVAKIA,4,91.6,4,92.6,4,94,4,92.8
SLOVENIA,1,90.2,1,89.1,1,87.8,1,89
SOUTH AFRICA,2,75.3,2,64.1,2,50.3,2,63.2
SPAIN,7,88.6,7,91.4,7,89.8,7,89.9
SWEDEN,6,86.2,6,84.2,6,79.8,6,83.4
SWITZERLAND,4,72.4,4,90.5,4,91.1,4,84.7
UKRAINE,15,73.8,,,,,,
UNITED ARAB EMIRATES,1,86,2,82.6,3,91.2,3,87.6
UNITED KINGDOM,15,59.4,11,78,9,73,15,69.1
UNITED STATES OF AMERICA,93,92.7,92,93.1,93,94.1,94,93.3
