Reactor Name,Model,Process,Capacity (MWe),Grid Connection,Load Factor (2023) (%),Electricity Generated (2023) (GWh),Construction Start,Country,Net Capacity (MWe),Permanent Shutdown
Atucha 1,PHWR KWU,PHWR,340.0,19/03/1974,73.8,2197.12,,Argentina,,
Atucha 2,PHWR KWU,PHWR,693.0,27/06/2014,25.4,1541.93,,Argentina,,
Embalse,CANDU 6,PHWR,608.0,25/04/1983,98.1,5224.06,,Argentina,,
Carem25,CAREM Prototype (Integrated-PWR),PWR,25.0,,,,08/02/2014,Argentina,,
Armenian 2,VVER V-270,PWR,416.0,05/01/1980,68.9,2512.03,,Armenia,,
Armenian 1,VVER V-270,PWR,,,,,,Armenia,376.0,25/02/1989
Rooppur 1,VVER V-523,PWR,1080.0,,,,30/11/2017,Bangladesh,,
Rooppur 2,VVER V-523,PWR,1080.0,,,,14/07/2018,Bangladesh,,
Ostrovets 1,VVER V-491,PWR,1110.0,03/11/2020,78.9,7675.4,,Belarus,,
Ostrovets 2,VVER V-491,PWR,1110.0,13/05/2023,84.6,3321.12,,Belarus,,
Doel 2,W (2-loop),PWR,445.0,21/08/1975,91.6,3570.58,,Belgium,,
Doel 4,W (3-loop),PWR,1026.0,08/04/1985,84.6,7670.06,,Belgium,,
Tihange 1,Framatome 3 loops reactor,PWR,962.0,07/03/1975,97.8,8242.06,,Belgium,,
Tihange 3,W (3-loop),PWR,1030.0,15/06/1985,83.1,7544.13,,Belgium,,
BR-3,Prototype,PWR,,,,,,Belgium,10.0,30/06/1987
Doel 1,W (2-loop),PWR,,,,,,Belgium,445.0,14/02/2025
Doel 3,W (3-loop),PWR,,,,,,Belgium,1006.0,23/09/2022
Tihange 2,W (3-loop),PWR,,,,,,Belgium,1008.0,31/01/2023
Angra 1,2-loop WE,PWR,609.0,01/04/1982,84.6,4515.48,,Brazil,,
Angra 2,PRE KONVOI,PWR,1275.0,21/07/2000,82.2,9179.95,,Brazil,,
Angra 3,PRE KONVOI,PWR,1340.0,,,,30/05/2010,Brazil,,
Kozloduy 5,VVER V-320,PWR,1003.0,29/11/1987,90.3,7932.76,,Bulgaria,,
Kozloduy 6,VVER V-320,PWR,1003.0,02/08/1991,86.0,7555.28,,Bulgaria,,
